raison_sociale,gouvernorat,delegation,secteur_nat,responsable,telephone,email,effectif_total,export
LA CONFECTION TNNE,Sousse,Ksiba Zaouia Thrayet,Industries textiles et habillement,SELCUK YILMAZ,(216-)  73 323 755/ 73 323 502,administration1@lcttunisie.com,428,TOTALEMENT EXPORTATRICE
STE TISSAGE MEUBLATEX,Sousse,Hammam sousse,Industries textiles et habillement,ABDELMAJID YEZZA,(216-)  73 308 777,contact@tissage-meublatex.com.tn,110,NON TOTALEMENT EXPORTATRICE
STE BETON INDUSTRIALISE GLOULOU,Sousse,Msaken,Fabrication d'autres produits non métalliques,HABIB GLOULOU,(216-)  73 312 633,contact@sobig.com.tn,192,NON TOTALEMENT EXPORTATRICE
MONDIAL MARBRE,Sousse,Msaken,Autres industries extractives,RIADH M KHININI,(216-)  73 261 454,riadh@groupemekhinini-mr.com,16,NON TOTALEMENT EXPORTATRICE
MONDIAL BRODERIE (M'SAKEN),Sousse,Msaken,Industries textiles et habillement,LOTFI GHARBI,(216-)  73 323 600/ 73 323 801,mondialbroderie@hotmail.fr,22,TOTALEMENT EXPORTATRICE
MAGHREB CYCLES,Sousse,Hammam sousse,Fabrication de matériel de transport,HABIB ESSEYAH,(216-)  73 308 800/ 73 308 801,maghrebcycle@topnet.tn,29,NON TOTALEMENT EXPORTATRICE
FINISSAGE DU NORD OUEST,Manouba,Douar Hicher,Industries textiles et habillement,BELHASSEN GHERAB,(216-)  71 928 000,fino@aramysgroup.com,120,NON TOTALEMENT EXPORTATRICE
LINDE GAS TUNISIE,Nabeul,Soliman,Industrie chimique,MOHAMED WALID ROUROU,(216-)  71 409 209/ 72 290 947,tunisie@linde.com,50,NON TOTALEMENT EXPORTATRICE
STE SPERIAN PROTECTION TUNISIA,Nabeul,Dar chaabane e.fehri,Autres industries manufacturières,ANIS ZOUAOUI,(216-)  72 321 074,mongia.boumaiza@honeywell.com,200,TOTALEMENT EXPORTATRICE
CARRELAGES ET PREFABRICATION DU SUD,Gabes,Gabes ville,Fabrication d'autres produits non métalliques,MOHAMED SALAH SANAKLI,(216-)  75 270 489/ 70 415 418,cpsgabes@gmail.com,96,NON TOTALEMENT EXPORTATRICE
STE SOTRAFIB,Monastir,Ksibet el mediouni,Industries textiles et habillement,HABIB BEN HASSINE,(216-)  58 396 901/ 73 440 008,sotrafib@live.fr,27,NON TOTALEMENT EXPORTATRICE
STE FRANCO TNNE D'ENERGIE NOUVELLE,Nabeul,Grombalia,Fabrication d'equipements électriques et électroniques,JACQUES GIORDANO,(216-)  72 210 600/ 72 255 548,contact@soften.com.tn,150,NON TOTALEMENT EXPORTATRICE
STE DES EMBALLAGES ALUMINIUM ET BOISSONS GAZEUSES (BOU ARGOUB),Nabeul,Bou argoub,Industries agricoles et alimentaires,HAMADI BOUSBIAA,(216-)  71 189 200/ 72 259 632,dg@seabg.com.tn,198,NON TOTALEMENT EXPORTATRICE
STE MODERNE DES TECHNIQUES DES CUIRS,Nabeul,El haouaria,Industries du cuir et de la chaussure,SAMIA EL BACH,(216-)  72 269 600,somotec.cuir@hotmail.com,36,TOTALEMENT EXPORTATRICE
COMPTOIR DU PLASTIC DU SUD,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,JAMEL DERBEL,(216-)  23 411 702/ 74 469 903,coplasud@yahoo.fr,40,NON TOTALEMENT EXPORTATRICE
FLEXO PRINT,Sfax,Sfax ville,Industrie du caoutchouc et des plastiques,KHALED AYADI,(216-)  74 287 570,flexoprint@flexoprint.com.tn,92,NON TOTALEMENT EXPORTATRICE
STE DE PRODUCTION DE PRODUITS ALIMENTAIRES DU SUD,Sfax,Sfax ville,Industries agricoles et alimentaires,NAJEH MAALEJ,(216-)  74 287 745,m.maalej@warda.tn,83,NON TOTALEMENT EXPORTATRICE
STE HORCHANI  DATTES,Tozeur,Dagach,Industries agricoles et alimentaires,RACHED HORCHANI,(216-)  71 238 283/ 76 420 099,,750,TOTALEMENT EXPORTATRICE
HUILERIE DU NORD OUEST (TAJEROUINE),Le kef,Tajerouine,Industries agricoles et alimentaires,KHALED JEBABLI,(216-)  20 292 565/ 78 277 101,huilerie_hno@yahoo.fr,22,NON TOTALEMENT EXPORTATRICE
FONDERIES HADIDANE,Zaghouan,Bir m'cherga,Métallurgie et travail des métaux,RADHI HADIDANE,(216-)  71 880 362/ 27 059 284,f.hadidane@yahoo.fr,15,NON TOTALEMENT EXPORTATRICE
POLYCARGO,Zaghouan,Bir m'cherga,Fabrication de matériel de transport,MONDHER MAHJOUB,(216-)  71 259 903/ 72 640 472,,15,NON TOTALEMENT EXPORTATRICE
MAGHREB FONDERIE,Zaghouan,Bir m'cherga,Métallurgie et travail des métaux,MOHAMED LAHMAR,(216-)  71 380 190/ 72 640 454,,10,NON TOTALEMENT EXPORTATRICE
FUTUR CONFECTION,Bizerte,Tinja,Industries textiles et habillement,JIHED SOUISSI,(216-)  50 677 164,souissi-jihed@hotmail.com,30,TOTALEMENT EXPORTATRICE
STE SPORTEX,Monastir,Zeramdine,Industries textiles et habillement,AHMED OMRANE,(216-)  73 499 400/ 73 498 980,sportex@gnet.tn,150,TOTALEMENT EXPORTATRICE
KATEX (LA SOUKRA),Ariana,La Soukra,Industries textiles et habillement,RIDHA KAOUECHE,(216-)  22 200 528/ 27 585 723,kouki@ditex.tn,90,TOTALEMENT EXPORTATRICE
HANNECARD PIOLAT GRAVURE INTER,Zaghouan,Zaghouan,"Industrie du papier et du carton, édition et imprimerie",SADOK RAHLI,(216-)  72 675 823,hpgi.han@planet.tn,11,NON TOTALEMENT EXPORTATRICE
LAND'OR,Ben arous,Mornag,Industries agricoles et alimentaires,HATEM DENGUEZLI,(216-)  71 366 666,landor@gnet.tn,550,NON TOTALEMENT EXPORTATRICE
STE INDUSTRIE METALLIQUE GLE,Gabes,Gabes ville,Métallurgie et travail des métaux,ADEL BEN HASSINE,(216-)  75 272 201/ 75 276 944,simg@planet.tn,188,NON TOTALEMENT EXPORTATRICE
IMM CARRIERES,Le kef,El ksour,Autres industries extractives,AHMED TRIFI,(216-)  71 384 786,,12,NON TOTALEMENT EXPORTATRICE
MICHAUD TUNISIE SA,Ben arous,Fouchana,Fabrication d'equipements électriques et électroniques,BORIS BOSI BRIZARD,(216-)  79 408 650,admi@michaud-tunisie.com,85,TOTALEMENT EXPORTATRICE
STE BREIZH CONFECTION,Nabeul,Dar chaabane e.fehri,Industries textiles et habillement,SOUAD AMIRA,(216-)  23 913 010/ 72 272 561,breizh.conf@hotmail.fr,48,TOTALEMENT EXPORTATRICE
STE TUNISO ITALIENNE DE FRIPERIE,Bizerte,Menzel jemil,Industries textiles et habillement,FETHI BEZRATI,(216-)  72 490 700/ 72 490 702,sotuif@planet.tn,24,NON TOTALEMENT EXPORTATRICE
CIE IND DE VETEMENTS DU CAP BON,Nabeul,Nabeul,Industries textiles et habillement,JOSETTE CASALE,(216-)  72 285 874,civec@hexabyte.tn,120,TOTALEMENT EXPORTATRICE
STE DHIAB ET CIE TECHNIFER,Ben arous,Rades,Métallurgie et travail des métaux,MONGI DHIAB,(216-)  71 448 090/ 71 448 091,commercial.technifer@planet.tn,18,NON TOTALEMENT EXPORTATRICE
STE DE FRIPERIE ET D'EFFILOCHAGE,Sousse,Kalaa kebira,Industries textiles et habillement,MOHAMED HABIB GUERRIDA,(216-)  73 343 586,jamel.jouilighly@gmail.com,95,NON TOTALEMENT EXPORTATRICE
BOULANGERIE ESSAADA,Tozeur,Dagach,Industries agricoles et alimentaires,ABDELKADER BEN SASSI,(216-)  76 420 455,,12,NON TOTALEMENT EXPORTATRICE
STE ETTAOUFIK DES FRUITS SECS,Sfax,Sfax sud,Industries agricoles et alimentaires,MOHAMED CHAABANE,(216-)  74 657 240,sefrus.sefrus@planet.tn,15,NON TOTALEMENT EXPORTATRICE
MARBRERIE EL FARJI,Sousse,Msaken,Autres industries extractives,MOHAMED EL FARJI,(216-)  73 284 686/ 31 122 464,etsfarjietcie1@gmail.com,21,NON TOTALEMENT EXPORTATRICE
MARBRERIE TAPARURA,Sfax,Sakiet eddaier,Autres industries extractives,THAMEUR BOUZID,(216-)  74 831 705,marberietaparura@ymail.com,10,NON TOTALEMENT EXPORTATRICE
RACINE MODE,Monastir,Ksibet el mediouni,Industries textiles et habillement,ISHAK SASSI,(216-)  73 441 441,racine.mode@topnet.tn,45,TOTALEMENT EXPORTATRICE
STE EL AMANA DE PRODUCTION D'HUILES D'OLIVES,Sfax,Sfax ville,Industries agricoles et alimentaires,ABDERRAZEK BOUKHRISS,(216-)  98 644 858,,16,NON TOTALEMENT EXPORTATRICE
BARNA TEXTIL,Ariana,La Soukra,Industries textiles et habillement,MENIA SALIM,(216-)  27 585 721,salim.menia@gnet.tn,86,TOTALEMENT EXPORTATRICE
NOVAPLAS,Ariana,La Soukra,Industrie du caoutchouc et des plastiques,MOHAMED MASMOUDI,(216-)  71 941 995,novaplas@topnet.tn,25,NON TOTALEMENT EXPORTATRICE
CAFES BONDIN,Ariana,La Soukra,Industries agricoles et alimentaires,NEBIL BEN YEDDER,(216-)  70 837 444,bondin@cafesbondin.com.tn,345,NON TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION DE FORMES ET SEMELLES,Ben arous,Nouvelle medina,Fabrication de machines et équipements,SARRA MAAMER,(216-)  71 384 414/ 71 384 278,tunisie.formes@yahoo.fr,22,NON TOTALEMENT EXPORTATRICE
BRAMATEX,Monastir,Bembla,Industries textiles et habillement,MAHER BRAHAM,(216-)  73 420 505,noureddine@newbramatex.com,185,TOTALEMENT EXPORTATRICE
HERSAND TUNISIE (EX SALEM & CO),Sousse,Msaken,Autres industries manufacturières,ALEXANDRE STARKMAN,(216-)  73 285 825,rym.hersand@gmai.com,205,TOTALEMENT EXPORTATRICE
GL BETON TUNISIE (HERGLA),Sousse,Hergla,Fabrication d'autres produits non métalliques,ERIK MARCON,(216-)  36 247 599/ 28 747 904,info@generalbeton.com.tn,57,NON TOTALEMENT EXPORTATRICE
STE GLE DE CONSTRUCTION METALLIQUE MAALEJ & CIE,Ben arous,Megrine,Métallurgie et travail des métaux,MOHAMED MAALEJ,(216-)  71 427 733/ 71 427 656,direction@sogecom-maalej.com,22,NON TOTALEMENT EXPORTATRICE
STE EL BARAKA DES PRODUITS AGRO ALIMENTAIRES,Ben arous,Ben arous,Industries agricoles et alimentaires,KHIAREDDINE EL MELKI,(216-)  71 398 688,el-baraka@tunet.tn,20,NON TOTALEMENT EXPORTATRICE
STE DE MATERIAUX ET DE TRAVAUX PUBLICS,Nabeul,Grombalia,Autres industries extractives,AHMED BOUZGUENDA,(216-)  71 135 351/ 71 135 393,m.choura@financo.it,43,NON TOTALEMENT EXPORTATRICE
"LES LABORATOIRES DES MEDICAMENTS STERILES ""MEDIS""",Nabeul,Nabeul,Industrie chimique,LASSAAD BOUJBEL,(216-)  31 338 400,rh@medis.com.tn,750,NON TOTALEMENT EXPORTATRICE
PRIMO-PACK L'EUROPPEENNE DE L'EMBALLAGE,Bizerte,Mateur,Autres industries manufacturières,NADIA ZITOUNA,(216-)  72 465 030/ 72 467 999,nzprimo.pack@planet.tn,30,TOTALEMENT EXPORTATRICE
STE SICAD COALA,Sidi Bouzid,Sidi bouzid ouest,Fabrication de machines et équipements,TAHAR AMRI,(216-)  76 622 210,info@coala-tunisie.com,182,NON TOTALEMENT EXPORTATRICE
SOTACER,Tunis,Cite el khadra,Fabrication de machines et équipements,HOUCINE SOLTANI,(216-)  71 808 022,soltani@elathir.com,50,NON TOTALEMENT EXPORTATRICE
LA MENUISERIE PERFECTIONNEE,Medenine,Medenine sud,Travail du bois et fabrication d'articles en bois,AHMED HEZLI,(216-)  98 318 138/ 75 343 231,somecobois@hotmail.fr,13,NON TOTALEMENT EXPORTATRICE
CENTRALE LAITIERE DU CAP BON,Nabeul,Soliman,Industries agricoles et alimentaires,MOHAMED MEDDEB,(216-)  98 107 927/ 72 290 601,lassaad.lassoued@groupedelice.com.tn,560,NON TOTALEMENT EXPORTATRICE
MED OIL COMPANY (RADES),Ben arous,Rades,Industries agricoles et alimentaires,SELIM CHAHED,(216-)  70 020 520,finance@poulina.com.tn,249,NON TOTALEMENT EXPORTATRICE
INNOVATIONS MECANIQUES INDUSTRIELLES,Tunis,Cite el khadra,Métallurgie et travail des métaux,MOHAMED ALI HTIRA,(216-)  71 771 200,imi@hexabyte.tn,16,NON TOTALEMENT EXPORTATRICE
STE TNNE DE PANSEMENTS,Monastir,Sayada lamta bouhjar,Industrie chimique,ABDELAZIZ ZOUHIR,(216-)  71 116 000/ 73 107 010,hamdi.labidi@sancella.com.tn,70,NON TOTALEMENT EXPORTATRICE
STE MODERNE DE CERAMIQUE,Monastir,Zeramdine,Fabrication d'autres produits non métalliques,LOTFI ABDENNADHER,(216-)  73 410 416/ 73 410 417,somocer@gnet.tn,600,NON TOTALEMENT EXPORTATRICE
STE DE TISSAGE VELOURS,Monastir,Monastir,Industries textiles et habillement,ABDELLAZIZ DAHMANI,(216-)  73 530 970,info@stivel.net,97,NON TOTALEMENT EXPORTATRICE
MBG,Monastir,Monastir,Métallurgie et travail des métaux,MOHAMED GDOURA,(216-)  71 430 556/ 70 242 830,mbg@planet.tn,251,NON TOTALEMENT EXPORTATRICE
STE MEDIMIX,Sfax,El amra,Industries agricoles et alimentaires,HATEM CHAABOUNI,(216-)  74 830 640/ 74 899 205,r.hachicha@medimix.com.tn,231,NON TOTALEMENT EXPORTATRICE
STE LA SOIE NATURELLE,Beja,Goubellat,Industries textiles et habillement,LASSAAD EL BEJI,(216-)  78 585 388,elbeji@gnet.tn,38,NON TOTALEMENT EXPORTATRICE
BEN PLAST,Monastir,Ksar hellal,Industrie du caoutchouc et des plastiques,KAMEL BEN HASSINE,(216-)  73 545 338,appro@benplast.com.tn,135,TOTALEMENT EXPORTATRICE
GLE TEXTILE,Tunis,El omrane superieur,Industries textiles et habillement,BELHASSEN GHERAB,(216-)  71 928 000,get@aramysgroup.com,100,NON TOTALEMENT EXPORTATRICE
ADVANCED SLIDING TECHNOLOGY,Manouba,Mornaguia,Autres industries manufacturières,WALID CHEBBI,(216-)  71 542 742/ 71 542 363,walid@astskis.com,178,TOTALEMENT EXPORTATRICE
L'APPETISSANTE,Manouba,Oued Ellil,Industries agricoles et alimentaires,MOHAMED NEJIB ATTIA,(216-)  71 535 127/ 20 523 516,asami@iffco.com,600,NON TOTALEMENT EXPORTATRICE
CHRISTINE CONFECTION,Manouba,Douar Hicher,Industries textiles et habillement,MAJDI CHAABOUNI,(216-)  71 546 755/ 71 546 440,elloumi.w@christineconfection.com,240,TOTALEMENT EXPORTATRICE
STE NLLE D'IMPRESSION DE PRESSE ET D'EDITION,Manouba,Douar Hicher,"Industrie du papier et du carton, édition et imprimerie",MANSOUR M'HENNI,(216-)  71 353 055/ 71 545 286,contact@lapresse.tn,550,NON TOTALEMENT EXPORTATRICE
STE COMMERCIALE ET IND DES PRODUITS EN PLASTIQUE,Manouba,Douar Hicher,Industrie du caoutchouc et des plastiques,ADNANE  FARHAT,(216-)  71 546 404/ 54 186 349,adnan.farhat@ipalpex.com,80,NON TOTALEMENT EXPORTATRICE
INOPLAST,Manouba,Manouba,Industrie du caoutchouc et des plastiques,SAMI HACHICHA,(216-)  71 620 333/ 71 620 355,info@inoplast.com.tn,150,NON TOTALEMENT EXPORTATRICE
STE SMAC TUNISIE,Nabeul,Korba,Industries du cuir et de la chaussure,JERARD BOCHER,(216-)  72 225 382,smac@topnet.tn,37,TOTALEMENT EXPORTATRICE
STE TNNE DES STRUCTURES METALLIQUES,Zaghouan,Zaghouan,Métallurgie et travail des métaux,YOUSSEF SAYEH,(216-)  72 675 526,st.metal@topnet.tn,127,NON TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION DES PRODUITS VETERINAIRES ET D'EXPLOITATION,Zaghouan,Zaghouan,Industrie chimique,HABIB CHNITIR,(216-)  71 560 523/ 72 675 607,sovetex@planet.tn,26,NON TOTALEMENT EXPORTATRICE
SADIKA RMA,Tunis,La marsa,Fabrication d'autres produits non métalliques,SADIKA KESKES,(216-)  71 274 225/ 71 274 211,rma@sadika.net,28,NON TOTALEMENT EXPORTATRICE
STE DES BOISSONS DE TUNISIE,Medenine,Sidi makhlouf,Industries agricoles et alimentaires,ROMDHANE RAHLI,(216-)  75 610 012,boissons.tunisie@planet.tn,252,NON TOTALEMENT EXPORTATRICE
STE DIMASSI TEXTILES,Monastir,Ksar hellal,Industries textiles et habillement,MED BEN ABDELAZIZ DIMASSI,(216-)  71 782 295/ 73 546 850,dimatex@planet.tn,35,NON TOTALEMENT EXPORTATRICE
CIE GLE CONFECTION,Manouba,Manouba,Industries textiles et habillement,NABIL BEN MEHREZ,(216-)  71 608 230,cgc@gnet.tn,90,TOTALEMENT EXPORTATRICE
STE BETATEX,Nabeul,Korba,Industries textiles et habillement,HAYET BELLAAJ KHANFIR,(216-)  72 385 016/ 23 700 200,hayet.khanfir@betatex.com.tn,105,TOTALEMENT EXPORTATRICE
STE TNNE DES IND DE PNEUMATIQUES (MENZEL BOURGUIBA),Bizerte,Menzel bourguiba,Industrie du caoutchouc et des plastiques,FETHI YAHYAOUI,(216-)  71 230 400/ 98 793 579,fethi.yahyaoui@stip.com.tn,99,NON TOTALEMENT EXPORTATRICE
COFAT MATEUR,Bizerte,Mateur,Fabrication d'equipements électriques et électroniques,FAOUZI ELLOUMI,(216-)  71 156 000/ 72 112 000,faouzi.elloumi@cofat.com,2600,TOTALEMENT EXPORTATRICE
STE ROYAUME DES MATELAS,Sfax,Sfax sud,Autres industries manufacturières,NABIL ZRIBI,(216-)  74 639 104/ 74 639 105,rymat2015@yahoo.fr,75,NON TOTALEMENT EXPORTATRICE
STE DE TRANSFORMATION DES PRODUITS AGRICOLES,Ben arous,Fouchana,Industries agricoles et alimentaires,SOFIEN BEN YAGHLANE,(216-)  71 398 730/ 28 744 091,saloua.sotrapa@gmail.com,22,NON TOTALEMENT EXPORTATRICE
STE DES INDUSTRIES ALIMENTAIRES EL HANA,Mahdia,Mahdia,Industries agricoles et alimentaires,MOHSEN ZOGHLAMI,(216-)  71 542 245/ 73 671 333,,82,NON TOTALEMENT EXPORTATRICE
CENTRALE LAITIERE DE MAHDIA,Mahdia,Mahdia,Industries agricoles et alimentaires,HELMI ALI,(216-)  36 277 000/ 36 277 011,contact@vitalait.net,825,NON TOTALEMENT EXPORTATRICE
SFAXI MOULES,Sfax,Sfax ville,Fabrication de machines et équipements,MOHAMED ANOUAR LADHAR,(216-)  21 411 251/ 74 286 474,contact@sfaximoul.com,55,NON TOTALEMENT EXPORTATRICE
STE DES EMBALLAGES DU SUD,Sfax,El hencha,"Industrie du papier et du carton, édition et imprimerie",MORCHED KHALFALLAH,(216-)  74 284 044,ses.usine@planet.tn,120,NON TOTALEMENT EXPORTATRICE
PARIS CONFECTION,Sfax,Sakiet ezzit,Industries textiles et habillement,RIDHA M'SEDDI,(216-)  74 253 721,henda.zweri@hexabyte.tn,60,TOTALEMENT EXPORTATRICE
STE IND D'EMBALLAGE DE FACONNAGE DE PAPIER AVEC IMPRESSION,Sfax,Sfax ouest,"Industrie du papier et du carton, édition et imprimerie",MOHAMED BEN JEMAA,(216-)  74 241 898,atlas.bj@planet.tn,27,NON TOTALEMENT EXPORTATRICE
STE IND D'APPAREILLAGE ET DE MATERIELS ELECTRIQUES,Nabeul,Grombalia,Fabrication d'equipements électriques et électroniques,MONGI JELASSI,(216-)  31 345 700,siame@siame.com.tn,71,NON TOTALEMENT EXPORTATRICE
CONFECTION IND TEBOULBA GUEMENE INTER,Monastir,Teboulba,Industries textiles et habillement,DAVID GENEVIER,(216-)  73 493 100/ 73 493 102,comptabilite@citgi.com.tn,390,TOTALEMENT EXPORTATRICE
STE DE BONNETERIE DE LUXE,Monastir,Ksar hellal,Industries textiles et habillement,MOHAMED BEN ABDELAZIZ DIMASSI,(216-)  71 782 295/ 73 546 850,sobolux@planet.tn,118,NON TOTALEMENT EXPORTATRICE
STE LUTEX,Bizerte,Mateur,Industries textiles et habillement,LUCIENNE RULAND,(216-)  72 486 140,lutex.com@gnet.tn,194,TOTALEMENT EXPORTATRICE
STE TNNE LAITIERE ET FROMAGERE,Bizerte,Mateur,Industries agricoles et alimentaires,MUSTAPHA CHAHED,(216-)  71 325 444/ 72 465 844,sotulaifrom@planet.tn,50,NON TOTALEMENT EXPORTATRICE
STE TNNE DE FABRICATION D'ARTICLES MENAGERS,Bizerte,Bizerte sud,Métallurgie et travail des métaux,HASSEN BEJAOUI,(216-)  98 795 706/ 72 535 210,sotufambizerte@gmail.com,85,NON TOTALEMENT EXPORTATRICE
STE TNNE ACER,Bizerte,Menzel bourguiba,Fabrication d'equipements électriques et électroniques,HOUCINE SOLTANI,(216-)  71 808 022/ 29 369 730,maintenancesotacer@gmail.com,28,NON TOTALEMENT EXPORTATRICE
GLE PRODUITS SNACKS,Bizerte,Utique,Industries agricoles et alimentaires,CHADLY KHANCHOUCH,(216-)  71 948 324/ 72 494 265,anis.khanchouch@gepros.com.tn,28,NON TOTALEMENT EXPORTATRICE
STE IND ET COMMERCIALE DE FRIPERIE (MENZEL JEMIL),Bizerte,Menzel jemil,Industries textiles et habillement,FATHI BEZRATI,(216-)  71 804 656/ 72 440 486,sicofrip@planet.tn,360,NON TOTALEMENT EXPORTATRICE
STE ALMIA REFRIGERATION,Bizerte,Menzel jemil,Fabrication de machines et équipements,MOHAMED LARBI ALMIA,(216-)  72 440 758/ 72 440 784,info@almia-tn.com,107,NON TOTALEMENT EXPORTATRICE
CONSTRUCTIONS ELECTROMECANIQUES DE TUNISIE,Bizerte,Mateur,Fabrication d'equipements électriques et électroniques,MAJDI RACHDI,(216-)  72 467 401/ 72 468 055,cem.direction@planet.tn,52,NON TOTALEMENT EXPORTATRICE
MANUF DE TOLE FINE EMBAMET,Bizerte,Utique,Métallurgie et travail des métaux,MONTACER KHALFALLAH,(216-)  70 837 332/ 72 494 180,mtf.embamet@planet.tn,220,NON TOTALEMENT EXPORTATRICE
STE NEW MODE,Bizerte,Ras el jebel,Industries textiles et habillement,EZZEDDINE MOUSSA,(216-)  72 447 300,new.mode1@planet.tn,180,TOTALEMENT EXPORTATRICE
STARLIGHT,Bizerte,Menzel jemil,Industries du cuir et de la chaussure,AXEL UNTERSTELLER,(216-)  72 440 753/ 72 441 010,mahassen.hamdi@starlight-leather.de,60,TOTALEMENT EXPORTATRICE
STE SOBITEX,Bizerte,Ras el jebel,Industries textiles et habillement,MOHAMED MONDHER BOUHADIDA,(216-)  72 447 722/ 72 447 666,gbtextile@planet.tn,241,TOTALEMENT EXPORTATRICE
STE AMEL WELT,Bizerte,Ras el jebel,Industries textiles et habillement,MALIKA BEN CHIKH,(216-)  72 447 433,ame.aw@planet.tn,105,TOTALEMENT EXPORTATRICE
STE IND DE BAGUES D'ETANCHEITE ET DES COSSES,Bizerte,Menzel jemil,Fabrication de matériel de transport,TAOUFIK BEN ROMDHANE,(216-)  72 446 540,sibec@planet.tn,100,NON TOTALEMENT EXPORTATRICE
TUNIS KONITEX,Bizerte,El alia,Industries textiles et habillement,MOHAMED SIOUD,(216-)  72 442 579,tuniskonitex@orange.tn,90,TOTALEMENT EXPORTATRICE
SUPER TEXTILE,Bizerte,Ras el jebel,Industries textiles et habillement,BADIAA BEN GHACHEM,(216-)  72 410 115/ 21 604 208,supertex@planet.tn,110,TOTALEMENT EXPORTATRICE
LES INDUSTRIELS DE CONFECTION MODERNE,Bizerte,Bizerte nord,Industries textiles et habillement,MOHAMED LAMINE KHADRAOUI,(216-)  70 253 587/ 72 436 180,mellytex.sec@topnet.tn,70,TOTALEMENT EXPORTATRICE
WASHING INTER COMPAGNY,Bizerte,Ras el jebel,Industries textiles et habillement,ERIC LINCZOWSKI,(216-)  72 456 026/ 98 761 053,c.majdoub@wic-sa.com,2000,TOTALEMENT EXPORTATRICE
CONFECTION GLE DE TUNISIE,Bizerte,Zarzouna,Industries textiles et habillement,MOHAMED JARRAYA,(216-)  72 591 181/ 72 592 523,cgt@planet.tn,165,TOTALEMENT EXPORTATRICE
IBERCHEM TUNISIE,Ben arous,Hammam chott,Industrie chimique,AFIFA BEN HASSEN,(216-)  71 430 928/ 71 430 604,iberchem-tn@iberchem.es,35,NON TOTALEMENT EXPORTATRICE
SOSTEM,Bizerte,Joumine,Industries agricoles et alimentaires,MOHAMED LASSAAD MZEH,(216-)  71 189 200/ 98 755 280,sostem.co@planet.tn,148,NON TOTALEMENT EXPORTATRICE
LION CONFECTION SARL,Bizerte,Bizerte sud,Industries textiles et habillement,BEN MITTENDORFF,(216-)  72 511 222,lion.dir@topnet.tn,150,TOTALEMENT EXPORTATRICE
FUBA PRINTED CIRCUIT TUNISIE,Bizerte,Menzel jemil,Fabrication d'equipements électriques et électroniques,NOUREDDINE GUATTOUFI,(216-)  71 860 244/ 39 140 100,mohamed.benhmida@ontechgroup.com,675,TOTALEMENT EXPORTATRICE
MECANOPRECIS,Bizerte,Bizerte sud,Métallurgie et travail des métaux,MOHAMED JAZIRI,(216-)  58 488 826/ 72 510 073,mecanoprecis@planet.tn,72,NON TOTALEMENT EXPORTATRICE
SARRALUX EXPORT,Bizerte,Ras el jebel,Industries textiles et habillement,MAHMOUD FAOUZI BOUHDIDA,(216-)  72 447 722/ 72 447 725,gbtextile@planet.tn,28,TOTALEMENT EXPORTATRICE
MODALI,Bizerte,Ras el jebel,Industries textiles et habillement,ALI ZAYEN,(216-)  72 456 400,ste.modali@topnet.tn,165,TOTALEMENT EXPORTATRICE
VETEMENTS DE TRAVAIL,Bizerte,Mateur,Industries textiles et habillement,MATTHIAS BERNINGER,(216-)  72 485 650/ 72 486 165,w.lamouchi@vetra-sarl.com,286,TOTALEMENT EXPORTATRICE
STE BOUDHINA IRRIGATION,Bizerte,Utique,Métallurgie et travail des métaux,KARIM BOUDHINA,(216-)  71 343 430/ 72 494 001,contact.boudhina@boudhina-irrigation.com.tn,25,NON TOTALEMENT EXPORTATRICE
STE TNNE DES OUTILS DE COUPE,Ben arous,Fouchana,Métallurgie et travail des métaux,HAMADI LABIEDH,(216-)  71 400 507/ 23 404 151,info@sotucoupe.com,33,NON TOTALEMENT EXPORTATRICE
MEDICALE GAZE,Ben arous,Megrine,Industrie chimique,HASSEN LAMOUCHI,(216-)  71 426 200,mega@planet.tn,107,NON TOTALEMENT EXPORTATRICE
GALION,Ben arous,Fouchana,Industrie du caoutchouc et des plastiques,RADHOUANE CHERIF,(216-)  71 308 500,info@galion.com,185,NON TOTALEMENT EXPORTATRICE
